accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2022-07-09,22:21:21,บางพลี-สุขสวัสดิ์,ฝนตก,0,1,0,0,สภาพแวดล้อม
2022-07-08,23:47:47,S1,ฝนตก,0,0,0,0,สภาพแวดล้อม
2022-07-07,03:36:36,ศรีรัช,ปกติ,0,0,0,0,ถอยหลังชิดขอบทางขวามากเกินไป
2022-07-07,18:05:05,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-07,10:34:34,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-06,11:06:06,อุดรรัถยา,ปกติ,0,0,0,0,ยางแตก
2022-07-06,16:32:32,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ระบบไฟฟ้าขัดข้อง
2022-07-05,23:48:48,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-05,13:07:07,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-05,10:27:27,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-04,08:39:39,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-04,09:46:46,อุดรรัถยา,ปกติ,0,0,0,0,ยางแตก
2022-07-04,03:14:14,เฉลิมมหานคร,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-07-04,16:18:18,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-04,10:14:14,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-03,01:50:50,บูรพาวิถี,ปกติ,3,3,0,0,ละสายตาจากการขับขี่
2022-07-03,21:44:44,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-03,21:45:45,บูรพาวิถี,ปกติ,1,2,0,0,ขับรถเร็วเกินไป
